commpany_Name,experience_length,experience_level,job_tittle,minimum_qualification,pay,requirements,responsibilities,sector
Limepack ApS,2 years,Mid level,E-Commerce Assistant,Degree,"400,000 - 600,000","Speak and write English fluently ,Good communication skills and a proactive communicator,Being comfortable with uploading information in multiple languages,3 years of experience with HTML,Have basic knowledge of SEO – and especially the technical aspects of SEO,Attention to detail, making sure the right things are uploaded the right way as we have over 15 native shops,The ideal candidate is someone who has knowledge of HTML & is able to upload nice-looking texts & information on WordPress, and Prestashop. ,Furthermore, the candidate should be good at making the content ,, with pictures, emojis & , ,The candidate should have basic knowledge of technical SEO to make sure that no technical aspects limit the content in ranking on search engines.,The Great candidate will be able to make infographics with illustration tools (Adobe Illustrator).","Uploading information for our categories & products (includes uploading pictures, texts, product information, etc.),Uploading articles to our blog,Creating topic clusters in our categories,Keeping internal link building up-to-date,Small technical SEO tasks as,Keyword density, alt-tags on pictures, meta titles & descriptions, and etc.,Working closely with internal teams such as Marketing and Product to ensure our website is up to date",Marketing & Communications
Jobberman (Third Party Recruitment),3 years,Mid level,Business Development Manager,Degree,,"Minimum academic qualification of BSc/BA in business administration, sales or relevant field,Proven working experience as a business development manager, sales executive or a relevant role,Ability to close sales,Must be able to hit the ground running,Proven sales track record,Experience in customer support is a plus,Proficiency in MS Office and CRM software (e.g. Salesforce),Proficiency in English,Market knowledge ,Communication and negotiation skills,Ability to build rapport,Time management and planning skills","Develop a growth strategy focused both on financial gain and customer satisfaction,Conduct research to identify new markets and customer needs,Arrange business meetings with prospective clients,Promote the company’s products/services addressing or predicting clients’ objectives,Prepare sales contracts ensuring adherence to law-established rules and guidelines,Keep records of sales, revenue, invoices etc.,Provide trustworthy feedback and after-sales support,Build long-term relationships with new and existing customers,Develop entry level staff into valuable salespeople ,Basically, you will be maintaining existing accounts up selling to existing accounts and closing new leads,We need experience in exhibition stand sale.",Management & Business Development
,2 years,Mid level,Corporate Sales Executive,Degree,,"Minimum academic qualification of Bachelor's degree in Business, Marketing, or a related field.,2 - 5 years of Proven experience in corporate sales, preferably in the healthcare or tech sectors.,Strong communication, presentation, and negotiation skills.,Ability to understand and articulate technical concepts.,Self-starter with a passion for healthcare and a drive to make a difference.,Proficiency in CRM tools and Microsoft Office Suite.","Lead Generation: Identify and target potential corporate clients that can benefit from Diabimetrics' solution.,Solution Selling: Present and sell the Diabimetrics platform to prospective corporate clients as an employee wellness tool.,Client Relationship Management: Maintain relationships with existing clients and understand their evolving needs.,Sales Forecasting: Develop and maintain a sales pipeline, forecasting monthly/quarterly sales targets.,Collaborate: Work closely with the marketing and product teams to refine sales strategies based on feedback and market trends.,Product Knowledge: Maintain an in-depth understanding of Diabimetrics' technology and its benefits, ensuring accurate and compelling communication to potential clients.,Market Intelligence: Stay updated on industry trends and competitor offerings to position Diabimetrics effectively in the marketplace.",Sales
Lekki Gardens Estates Limited,10 years,Senior level,Quantity Surveyor,Degree,"400,000 - 600,000","Bachelor's degree in quantity surveying, engineering, management, or similar.,Strong analytical and critical thinking skills.,Sound knowledge of construction,Professional of The Nigerian Institute of Quantity Surveyors or recognized equivalent ,AUTOCAD working knowledge is desirable,Architectural & Engineering Design Interpretation ,Engineering material, costs & specifications ,Construction Industry Dynamics ,Engineering and Technology ,Construction Estimating or Finance Experience,Strong analytical and critical thinking ,Ability to organize, plan and Strategize ,Excellent negotiating and interpersonal skills ,Great Networking ability,Team playing","Reviewing construction plans and preparing quantity requirements.,Scrutinizing maintenance and material costs, as well as contracts to ensure the best deals.,Liaising with site managers, clients, contractors, and subcontractors.,Preparing reports, analyses, contracts, budgets, risk assessments, and other documents.,Advising managers on improvements and new strategies.,Keeping track of materials and ordering more when required.,Documenting any changes in design and updating budgets.,Establishing and maintaining professional relationships with external and internal stakeholders.,Travelling from the office to various sites as required,Construction estimating or finance experience is advantageous.",Engineering & Technology
,2 years,Mid level,Estate Manager,Degree,,"Bachelor's degree in real estate, property management, business administration, or similar.,Minimum of 2 years’ experience in real estate, project management, or similar.,Experience in property management including the coordination of housekeeping, maintenance, and renovations.,Sound knowledge of grounds keeping management and operations.,Great leadership and project management abilities.,Excellent interpersonal and communication skills.,Exceptional time management and multitasking abilities.,The ability to be on call at all times, including evenings, weekends, and holidays.","Meeting with the estate owner to discuss their requirements, plans and any upcoming events,Preparing and maintaining estate budgets,Managing maintenance, repairs and renovation projects on the estate,Supervising all estate employees,Training gardeners, farmhands, chefs and butlers,Submitting insurance claims,Hiring contractors on behalf of the property owner,Creating and implementing optimal practices for daily estate operations,Planning events and gatherings at the estate,Promoting the estate's business using appropriate marketing channels.",Estate Agents & Property Management
Jobberman (Third Party Recruitment),5 years,Senior level,Senior Sales and Operations,Degree,"400,000 - 600,000","Operational Management: Manage the section’s daily operations by providing expertise, enabling teamwork, and aligning processes, in order to achieve high performance standards and meet established targets., Budget Management: Contribute to the development and consolidation of the departmental budget and monitor own section’s financial performance versus the budget, in order to ensure the exercising of financial authority within established limits and the control of sectional budget expenditure.","Strategy Development: Contribute to the development of departmental strategy as cascaded down from the functional strategy and oversee its implementation within own section and its operations, in order to ensure vertical alignment and horizontal integration with other interfacing departmental strategies across the company,People Management: Manage the sectional team of direct and indirect reports through effective recruitment, development, performance management, and succession planning, in order to maximize team performance and achieve sectional objectives.",Sales
SHIRE PRODUCTION LLC.,5 years,Senior level,Regional Promoters Managers - Entertainment,Degree,Commission Only,,,Marketing & Communications
White Tulip Consulting Limited,1 year,Mid level,Brand Manager - Pharmaceuticals,Degree,"250,000 - 400,000","B. Pharm or equivalent. Graduates of health/basic medical /biological sciences are acceptable,1 - 2 years experience in product management.,Prior Medical representation experience is absolutely essential,Strategic thinking and analytical skills.,Ability to work under pressure.","The Key responsibilities for these roles are Brand strategy development execution, analysis of market share, sales forecasts, product, marketing and market research, sales planning and execution of all communications and media actions, etc., Company specific responsibilities include developing and managing assigned product-knowledge base",Marketing & Communications
MOED Resources Nigeria Ltd,1 year,Entry level,Structure Engineer,Degree,,"Minimum academic qualification of a Bachelor's degree in Civil Engineering or related field. ,A post graduate in engineering or management is an advantage,Minimum of 1 year of experience in construction project management","Develop and manage project schedules, budgets, and resources,Coordinate with architects, engineers, and contractors to ensure project success,Review and approve project plans, specifications, and contracts,Ensure compliance with building codes, safety regulations, and environmental requirements,Ensuring regulatory compliance,Monitor project progress and make adjustments as necessary,Communicate project status to stakeholders and senior management,Manage project risks and identify opportunities for improvement,Provide technical support to project team member ,Ensure quality control and quality assurance for all project deliverables,Lead project meetings and facilitate communication among team members,Assessing the suitability of a construction site,Protecting the environment during construction,Preparing cost estimates and bids,Using software to create 3D models of bridges, dams, homes, buildings and airports.",Engineering & Technology
Power Gas Ebedei Limited,10 years,Executive level,"Environment, Social, Government & Health, Safety, Security, and Environment (ESG/HSSES) Manager",MBA / MSc,,"Advanced university degree (masters or equivalent) in a relevant discipline, preferably environmental engineering, environmental or social studies; development studies / development finance; or similar.,At least 10 years’ work experience in a related field (relevant sector, HSE, E&S and / or sustainability etc), preferably within oil & gas, manufacturing, E&S consulting, development finance or private equity / the wider investment industry.,Possession of related professional qualification in occupational health and safety, is essential,Experience and demonstrable commitment to our markets.,Willingness to travel, often at short notice.","During due diligence, assess gaps against the Company’s E&S requirements / policies and identify opportunities for improvements.,Appoint and manage specialist consultants, including for complex E&S due diligence and / or monitoring, and for the provision of training programmes and health, security and safety services,Contribute to the evaluation of investment proposals for further expansion, including via investment committee papers and meetings.,Ensure that all health, safety and security policies, procedures, rules and regulations are adhered to and are regularly reviewed, updated and communicated.,Support in negotiations with portfolio companies to ensure that E&S rights are embedded in legal agreements, including E&S action plans (where appropriate).,Ensure the company meets its statutory obligations in all areas pertaining to health, safety, security and welfare at work, including statutory training and reporting.,Work with company and its’ client and partners to improve their E&S management systems, policies and procedures, including the implementation of E&S action plans (where relevant).,Investigate work related accidents, incidents, near misses, injuries, and following trends, and recommending various solutions, including policies, procedures, better communications, training, and modifications to work methods or equipment.,Regularly monitor company’s compliance with the Shareholders E&S requirements and policies, including the implementation of agreed action plans and/or by attendance of E&S sub-committees of boards (as required).,Ensure that safety inspections, fire drills and fire alarms are correctly carried out and reported, safety inspections, risk assessments and lone working procedures are managed and employees are aware of their responsibilities.,Suspend or terminate activities that may pose a danger to the workers’ health, safety and security. ,Exercise authority to stop unsafe acts,Contribute to the delivery of E&S training, both for internal teams and for contractors or partners.,Mentoring and working with management, peers, and more junior team members., Keep up to date with all aspects of relevant health, safety, security & welfare at work legislation and communicate relevant changes to the business.,Conduct daily site patrols to check and inspect safe working conditions. ,Look for potential hazards; examine tools, equipment and machinery to ensure proper usage.,Prepare safety & security inspection reports for the management team, highlighting areas of concern and mitigation plans.,Coordinate, support and advise the company on all aspects concerning health, safety and security., Represent the company with external stakeholders, including partners, third parties, and at industry,HSSE events, like responsible investment conferences and others.,Work on ad hoc projects. For instance, external communications on E&S, such as an annual E&S report and case studies highlighting E&S value addition incl emission control, carbon credits, etc. ",Health & Safety
